DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,2006,Male,40.4%,36.7%,0%,36.7%,3.7%,58.7%,0%
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
02M570,SATELLITE ACADEMY HIGH SCHOOL,2005,Male,9.5%,5.8%,0%,5.8%,3.6%,65.7%,16.1%
02M570,SATELLITE ACADEMY HIGH SCHOOL,2006,Male,9.9%,6.4%,0%,6.4%,3.5%,76.2%,7.6%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,2005,Male,49%,46.9%,11.2%,35.7%,2%,28.6%,20.4%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,2006,Male,39.1%,34.4%,11.9%,22.5%,4.6%,37.7%,21.2%
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,2005,Male,30%,22.5%,5%,17.5%,7.5%,30%,37.5%
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,2006,Male,48.8%,36.6%,7.3%,29.3%,12.2%,26.8%,17.1%
02M586,HARVEY MILK HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2005,Male,47.6%,31%,0%,31%,16.7%,31%,11.9%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,Male,82.8%,62.1%,0%,62.1%,20.7%,10.3%,3.4%
02M605,HUMANITIES PREPARATORY ACADEMY,2005,Male,s,s,s,s,s,s,s
02M605,HUMANITIES PREPARATORY ACADEMY,2006,Male,71.4%,71.4%,14.3%,57.1%,0%,28.6%,0%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,2005,Male,43.1%,29.4%,13.7%,15.7%,13.7%,13.7%,22.5%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,2006,Male,47.7%,33%,4.6%,28.4%,14.7%,14.7%,22.9%
02M620,NORMAN THOMAS HIGH SCHOOL,2005,Male,28.9%,17.5%,0.5%,17%,11.3%,43.3%,25.8%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,Male,43.4%,27.5%,2.4%,25.1%,15.9%,27.1%,24.7%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,2005,Male,32.6%,16.3%,0.9%,15.3%,16.3%,28.4%,32.6%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,2006,Male,38.8%,21.4%,1.5%,19.9%,17.3%,24%,30.1%
02M630,ART AND DESIGN HIGH SCHOOL,2005,Male,59.4%,46.1%,4.8%,41.2%,13.3%,33.3%,3.6%
02M630,ART AND DESIGN HIGH SCHOOL,2006,Male,56.4%,50.3%,6.7%,43.6%,6.1%,27%,11%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2005,Male,81%,57.1%,0%,57.1%,23.8%,14.3%,2.4%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,Male,72.1%,55.7%,1.6%,54.1%,16.4%,14.8%,9.8%
02M690,SCHOOL FOR THE PHYSICAL CITY,2005,Male,40%,5.7%,0%,5.7%,34.3%,40%,8.6%
02M690,SCHOOL FOR THE PHYSICAL CITY,2006,Male,40.9%,18.2%,0%,18.2%,22.7%,31.8%,18.2%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,Male,43.8%,15.6%,0%,15.6%,28.1%,31.3%,12.5%
03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,2005,Male,37.3%,32.2%,0%,32.2%,5.1%,45.8%,11.9%
03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,2006,Male,56.4%,45.5%,1.8%,43.6%,10.9%,30.9%,10.9%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,2005,Male,58.7%,28.3%,0%,28.3%,30.4%,28.3%,8.7%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,2006,Male,57.4%,39.7%,0%,39.7%,17.6%,16.2%,20.6%
03M404,INNOVATION DIPLOMA PLUS,2006,Male,s,s,s,s,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,2005,Male,60%,41.5%,7.7%,33.8%,18.5%,30.8%,1.5%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,2006,Male,42.3%,32.7%,9.6%,23.1%,9.6%,40.4%,0%
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,2005,Male,30.8%,17.6%,4.5%,13.1%,13.1%,46.7%,16.6%
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,2006,Male,26.8%,16.8%,3.2%,13.6%,10%,42%,27.2%
03M479,BEACON HIGH SCHOOL,2005,Male,94.3%,73.9%,0%,73.9%,20.5%,2.3%,0%
03M479,BEACON HIGH SCHOOL,2006,Male,94.6%,89.3%,0%,89.3%,5.4%,5.4%,0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,2005,Male,97.1%,97.1%,61.6%,35.5%,0%,2.9%,0%
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,2006,Male,93.3%,91%,41.8%,49.3%,2.2%,6%,0.7%
03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2005,Male,64%,42%,6%,36%,22%,26%,8%
03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,2006,Male,61%,53.7%,19.5%,34.1%,7.3%,19.5%,17.1%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2005,Male,66.7%,51.1%,6.7%,44.4%,15.6%,21.1%,7.8%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,Male,60%,47.8%,1.1%,46.7%,12.2%,24.4%,7.8%
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2005,Male,22.6%,7.1%,0%,7.1%,15.5%,58.3%,15.5%
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,2006,Male,22.9%,9.6%,0%,9.6%,13.3%,73.5%,3.6%
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2005,Male,89.7%,84.6%,25.6%,59%,5.1%,7.7%,2.6%
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2006,Male,93.6%,93.6%,42.6%,51.1%,0%,4.3%,2.1%
03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2005,Male,52.8%,41.7%,13.9%,27.8%,11.1%,36.1%,0%
03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,2006,Male,64.3%,53.6%,10.7%,42.9%,10.7%,7.1%,14.3%
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,Male,60%,40%,2.9%,37.1%,20%,20%,11.4%
04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2005,Male,82.6%,72.8%,48.4%,24.4%,9.9%,13.1%,1.9%
04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,2006,Male,84.8%,81.7%,55.5%,26.2%,3.1%,9.4%,2.1%
04M495,PARK EAST HIGH SCHOOL,2005,Male,34.7%,22.4%,4.1%,18.4%,12.2%,44.9%,16.3%
04M495,PARK EAST HIGH SCHOOL,2006,Male,50%,30.6%,5.6%,25%,19.4%,27.8%,11.1%
04M555,CENTRAL PARK EAST HIGH SCHOOL,2005,Male,47.2%,25%,0%,25%,22.2%,33.3%,5.6%
04M555,CENTRAL PARK EAST HIGH SCHOOL,2006,Male,59.4%,37.5%,0%,37.5%,21.9%,25%,12.5%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2005,Male,50%,18%,2%,16%,32%,30%,16%
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,2006,Male,36.2%,23.4%,0%,23.4%,12.8%,38.3%,19.1%
04M680,HERITAGE SCHOOL  THE,2005,Male,37.1%,25.7%,0%,25.7%,11.4%,48.6%,14.3%
04M680,HERITAGE SCHOOL  THE,2006,Male,61%,41.5%,2.4%,39%,19.5%,31.7%,7.3%
04M695,URBAN PEACE ACADEMY,2005,Male,61.5%,38.5%,3.8%,34.6%,23.1%,19.2%,19.2%
04M695,URBAN PEACE ACADEMY,2006,Male,s,s,s,s,s,s,s
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2005,Male,5.3%,0%,0%,0%,5.3%,57.9%,28.9%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2006,Male,5.9%,5.9%,0%,5.9%,0%,67.6%,20.6%
05M304,MOTT HALL HIGH SCHOOL,2005,Male,68.5%,64.8%,0%,64.8%,3.7%,20.4%,9.3%
05M304,MOTT HALL HIGH SCHOOL,2006,Male,67.4%,60.9%,6.5%,54.3%,6.5%,17.4%,8.7%
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2006,Male,s,s,s,s,s,s,s
05M469,CHOIR ACADEMY OF HARLEM,2005,Male,53.8%,23.1%,3.8%,19.2%,30.8%,19.2%,15.4%
05M469,CHOIR ACADEMY OF HARLEM,2006,Male,s,s,s,s,s,s,s
05M499,FREDERICK DOUGLASS ACADEMY,2005,Male,76.2%,68.6%,21.9%,46.7%,7.6%,17.1%,3.8%
05M499,FREDERICK DOUGLASS ACADEMY,2006,Male,80.6%,78.3%,22.5%,55.8%,2.3%,17.1%,0.8%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2005,Male,86.7%,57.8%,2.2%,55.6%,28.9%,8.9%,2.2%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006,Male,58.8%,51%,2%,49%,7.8%,27.5%,9.8%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2005,Male,56.3%,40.6%,3.1%,37.5%,15.6%,29.7%,9.4%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006,Male,32.2%,18.6%,0%,18.6%,13.6%,27.1%,27.1%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2005,Male,98.6%,98.6%,95.8%,2.8%,0%,0%,1.4%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006,Male,96.5%,96.5%,87.7%,8.8%,0%,3.5%,0%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2005,Male,68.1%,44.7%,2.1%,42.6%,23.4%,16%,10.6%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2006,Male,63.8%,43.6%,4.3%,39.4%,20.2%,12.8%,13.8%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2005,Male,52.4%,28.6%,3.6%,25%,22.6%,29.8%,10.7%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2006,Male,48.5%,39.4%,9.1%,30.3%,9.1%,32.3%,16.2%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2005,Male,74.3%,55.7%,11.4%,44.3%,18.6%,20%,1.4%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2006,Male,64%,41.3%,4%,37.3%,22.7%,21.3%,8%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2005,Male,71.3%,43.8%,12.5%,31.3%,27.5%,12.5%,10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2006,Male,53%,33.7%,8.4%,25.3%,19.3%,19.3%,21.7%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2005,Male,77.9%,77.9%,36.8%,41.2%,0%,22.1%,0%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,Male,64.7%,58.8%,13.2%,45.6%,5.9%,25.7%,3.7%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2005,Male,71.1%,35.6%,15.6%,20%,35.6%,15.6%,13.3%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2006,Male,82.5%,47.5%,17.5%,30%,35%,10%,7.5%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2005,Male,90%,60%,16.7%,43.3%,30%,6.7%,3.3%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2006,Male,96.2%,80.8%,11.5%,69.2%,15.4%,3.8%,0%
07X321,CROTONA ACADEMY HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,Male,13.6%,9.1%,0%,9.1%,4.5%,63.6%,18.2%
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2005,Male,9.7%,0%,0%,0%,9.7%,74.2%,16.1%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL   ,2005,Male,s,s,s,s,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL   ,2006,Male,s,s,s,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2005,Male,53.1%,12.5%,0%,12.5%,40.6%,25%,21.9%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2006,Male,61.8%,52.9%,0%,52.9%,8.8%,11.8%,20.6%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2005,Male,48.9%,23.4%,2.1%,21.3%,25.5%,31.9%,8.5%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2006,Male,54.1%,32.4%,0%,32.4%,21.6%,16.2%,18.9%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2005,Male,68.3%,58.5%,22%,36.6%,9.8%,26.8%,2.4%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,Male,87%,78.3%,39.1%,39.1%,8.7%,13%,0%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2005,Male,57.5%,50%,2.5%,47.5%,7.5%,20%,12.5%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2006,Male,53.1%,39.1%,7.8%,31.3%,14.1%,23.4%,4.7%
07X527,BRONX LEADERSHIP ACADEMY II HS,2005,Male,63.2%,36.8%,0%,36.8%,26.3%,18.4%,7.9%
07X527,BRONX LEADERSHIP ACADEMY II HS,2006,Male,64%,52%,10%,42%,12%,2%,20%
07X547,NEW EXPLORERS HIGH SCHOOL,2005,Male,67.4%,39.5%,0%,39.5%,27.9%,11.6%,16.3%
07X547,NEW EXPLORERS HIGH SCHOOL,2006,Male,44.2%,21.2%,0%,21.2%,23.1%,28.8%,13.5%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2005,Male,80.6%,64.5%,12.9%,51.6%,16.1%,14.5%,1.6%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2006,Male,79.1%,62.7%,3%,59.7%,16.4%,14.9%,6%
07X551,BRONX ACADEMY OF LETTERS,2005,Male,85.7%,75%,14.3%,60.7%,10.7%,14.3%,0%
07X551,BRONX ACADEMY OF LETTERS,2006,Male,67.9%,57.1%,0%,57.1%,10.7%,17.9%,7.1%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2005,Male,43%,28.1%,20.2%,7.9%,14.9%,27.3%,24.4%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2006,Male,41.9%,20.3%,1.3%,19.1%,21.6%,35.2%,16.1%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2005,Male,40.6%,28.8%,1%,27.8%,11.8%,33.7%,16.3%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2006,Male,46.4%,29.7%,3.8%,25.9%,16.7%,19.8%,20.2%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,Male,59.4%,46.9%,9.4%,37.5%,12.5%,25%,15.6%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,Male,75%,57.5%,12.5%,45%,17.5%,2.5%,20%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2005,Male,37.9%,27.6%,0%,27.6%,10.3%,27.6%,20.7%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2006,Male,58%,48%,2%,46%,10%,20%,18%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2005,Male,35.6%,32.2%,0%,32.2%,3.4%,39%,11.9%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2006,Male,40.8%,15.5%,4.2%,11.3%,25.4%,39.4%,11.3%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2005,Male,45.6%,19%,0%,19%,26.6%,21.5%,26.6%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2006,Male,54.5%,28.8%,0%,28.8%,25.8%,21.2%,16.7%
08X312,MILLENNIUM ART ACADEMY,2005,Male,57.6%,33.9%,0%,33.9%,23.7%,35.6%,5.1%
08X312,MILLENNIUM ART ACADEMY,2006,Male,50%,40.7%,3.7%,37%,9.3%,35.2%,11.1%
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2005,Male,s,s,s,s,s,s,s
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2006,Male,56.4%,33.3%,0%,33.3%,23.1%,25.6%,17.9%
08X377,BRONX COMMUNITY HIGH SCHOOL,2005,Male,3%,3%,0%,3%,0%,75.8%,18.2%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,Male,12.9%,3.2%,0%,3.2%,9.7%,51.6%,32.3%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2005,Male,38.5%,28.4%,10.8%,17.6%,10.1%,36.5%,16.3%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2006,Male,39.7%,29.7%,10.3%,19.5%,10%,32.9%,23.7%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2005,Male,25.2%,12.6%,3%,9.6%,12.6%,20%,43%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
08X452,BRONX GUILD,2005,Male,s,s,s,s,s,s,s
08X452,BRONX GUILD,2006,Male,59.3%,0%,0%,0%,59.3%,29.6%,3.7%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2005,Male,30.6%,13.9%,0%,13.9%,16.7%,55.6%,13.9%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2006,Male,52.6%,28.9%,0%,28.9%,23.7%,23.7%,13.2%
08X530,BANANA KELLY HIGH SCHOOL,2005,Male,56.5%,30.4%,0%,30.4%,26.1%,23.9%,8.7%
08X530,BANANA KELLY HIGH SCHOOL,2006,Male,36.6%,22%,2.4%,19.5%,14.6%,36.6%,17.1%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2005,Male,45.5%,16.4%,1.8%,14.5%,29.1%,34.5%,14.5%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2006,Male,39%,24.4%,0%,24.4%,14.6%,29.3%,24.4%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,2005,Male,12.5%,3.1%,0%,3.1%,9.4%,67.2%,14.1%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,2006,Male,9.4%,1.9%,0%,1.9%,7.5%,60.4%,22.6%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,2005,Male,26.5%,17.6%,1%,16.7%,8.8%,34.3%,35.3%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,2006,Male,34.4%,24.4%,3.8%,20.6%,9.9%,27.5%,33.6%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,2005,Male,79.2%,56.3%,25%,31.3%,22.9%,12.5%,2.1%
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2005,Male,43.9%,14.6%,0%,14.6%,29.3%,39%,14.6%
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2006,Male,57.6%,33.9%,0%,33.9%,23.7%,32.2%,6.8%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2005,Male,64.7%,40%,0%,40%,24.7%,29.4%,5.9%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,Male,63%,47%,0%,47%,16%,32%,4%
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2005,Male,53.5%,26.8%,0%,26.8%,26.8%,22.5%,18.3%
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2006,Male,41.9%,14.9%,0%,14.9%,27%,28.4%,24.3%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2005,Male,79.2%,75%,16.7%,58.3%,4.2%,16.7%,4.2%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2006,Male,45.5%,40.9%,9.1%,31.8%,4.5%,40.9%,9.1%
09X252,MOTT HALL BRONX HIGH SCHOOL,2005,Male,86.7%,77.8%,8.9%,68.9%,8.9%,6.7%,2.2%
09X252,MOTT HALL BRONX HIGH SCHOOL,2006,Male,75.5%,75.5%,5.7%,69.8%,0%,18.9%,1.9%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2005,Male,66.7%,64.4%,26.7%,37.8%,2.2%,33.3%,0%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2006,Male,86%,74%,32%,42%,12%,8%,6%
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2005,Male,58.8%,44.1%,0%,44.1%,14.7%,26.5%,14.7%
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2006,Male,68.8%,50%,0%,50%,18.8%,6.3%,21.9%
09X276,LEADERSHIP INSTITUTE,2005,Male,58.6%,41.4%,0%,41.4%,17.2%,0%,31%
09X276,LEADERSHIP INSTITUTE,2006,Male,57.1%,51.4%,5.7%,45.7%,5.7%,25.7%,8.6%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2005,Male,86.7%,30%,0%,30%,56.7%,0%,3.3%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2006,Male,55.3%,23.4%,0%,23.4%,31.9%,27.7%,17%
09X329,DREAMYARD PREPARATORY SCHOOL,2005,Male,s,s,s,s,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,2006,Male,42.6%,31.9%,2.1%,29.8%,10.6%,40.4%,14.9%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2005,Male,68.8%,25%,0%,25%,43.8%,6.3%,15.6%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,Male,55.3%,21.3%,0%,21.3%,34%,36.2%,8.5%
09X404,SCHOOL FOR EXCELLENCE,2005,Male,70%,32.5%,0%,32.5%,37.5%,7.5%,15%
09X404,SCHOOL FOR EXCELLENCE,2006,Male,53.6%,30.4%,0%,30.4%,23.2%,23.2%,12.5%
09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2005,Male,83.3%,63.3%,3.3%,60%,20%,16.7%,0%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2005,Male,60%,37.8%,11.1%,26.7%,22.2%,4.4%,31.1%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,Male,40%,24.6%,6.2%,18.5%,15.4%,41.5%,16.9%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2005,Male,90.5%,81%,19%,61.9%,9.5%,0%,4.8%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,Male,88.9%,77.8%,27.8%,50%,11.1%,8.3%,2.8%
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2005,Male,80%,46.7%,0%,46.7%,33.3%,10%,0%
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2006,Male,33.9%,22.6%,1.6%,21%,11.3%,48.4%,4.8%
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2005,Male,56.4%,38.5%,0%,38.5%,17.9%,38.5%,0%
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2006,Male,71.4%,57.1%,2%,55.1%,14.3%,14.3%,6.1%
09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2006,Male,72.5%,57.5%,0%,57.5%,15%,25%,0%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2005,Male,48.4%,32.3%,3.2%,29%,16.1%,29%,12.9%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,Male,67.1%,50.7%,8.2%,42.5%,16.4%,9.6%,15.1%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2005,Male,s,s,s,s,s,s,s
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,Male,s,s,s,s,s,s,s
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2005,Male,75%,57.4%,11.8%,45.6%,17.6%,16.2%,5.9%
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2006,Male,85.1%,71.6%,17.6%,54.1%,13.5%,10.8%,4.1%
10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2005,Male,77.4%,62.3%,34%,28.3%,15.1%,7.5%,9.4%
10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2006,Male,76.7%,60%,15%,45%,16.7%,13.3%,6.7%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2005,Male,87.5%,75%,4.2%,70.8%,12.5%,12.5%,0%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2006,Male,92.6%,74.1%,22.2%,51.9%,18.5%,7.4%,0%
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2005,Male,s,s,s,s,s,s,s
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2006,Male,s,s,s,s,s,s,s
10X243,WEST BRONX ACADEMY FOR THE FUTURE,2005,Male,51.5%,30.3%,0%,30.3%,21.2%,33.3%,6.1%
10X243,WEST BRONX ACADEMY FOR THE FUTURE,2006,Male,60%,42.9%,2.9%,40%,17.1%,11.4%,17.1%
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2005,Male,44.6%,25%,8.9%,16.1%,19.6%,26.8%,28.6%
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2006,Male,50%,28.6%,7.1%,21.4%,21.4%,35.7%,12.9%
10X284,BRONX SCHOOL OF LAW AND FINANCE,2005,Male,61.7%,55.3%,10.6%,44.7%,6.4%,19.1%,14.9%
10X284,BRONX SCHOOL OF LAW AND FINANCE,2006,Male,52.5%,47.5%,5%,42.5%,5%,25%,15%
10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2005,Male,16.7%,0%,0%,0%,16.7%,52.8%,30.6%
10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2006,Male,16.7%,13.9%,0%,13.9%,2.8%,58.3%,19.4%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2005,Male,71.7%,69.6%,17.4%,52.2%,2.2%,17.4%,4.3%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2006,Male,50%,38.6%,0%,38.6%,11.4%,36.4%,11.4%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2005,Male,54.4%,30.9%,8.8%,22.1%,23.5%,25%,14.7%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2006,Male,60.9%,34.4%,3.1%,31.3%,26.6%,26.6%,10.9%
10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2005,Male,s,s,s,s,s,s,s
10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2006,Male,s,s,s,s,s,s,s
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2006,Male,s,s,s,s,s,s,s
